Entity,Code,Year,Fertility rate,GDP per capita,Population (historical estimates),Continent
Myanmar,MMR,2015,2.2475,4774.1333,51483956,Asia
Namibia,NAM,2015,3.6041,11041.704,2282709,Africa
Nepal,NPL,2015,2.2498,2829.85,27610328,Asia
Netherlands,NLD,2015,1.6611,51664.715,17041110,Europe
New Zealand,NZL,2015,1.9838,37060.945,4590591,Oceania
Nicaragua,NIC,2015,2.4797,5300.7627,6298610,North America
Niger,NER,2015,7.2111,1191.8284,20128132,Africa
Nigeria,NGA,2015,5.6163,5576.2925,183995776,Africa
North Macedonia,MKD,2015,1.4977,14449.225,2107965,Europe
Norway,NOR,2015,1.7273,70778.65,5190357,Europe
Oman,OMN,2015,2.9594,35037.953,4191784,Asia
Pakistan,PAK,2015,3.9041,4649.5283,210969296,Asia
Palestine,PSE,2015,4.0461,6230.2207,4484615,Asia
Panama,PAN,2015,2.5639,24786.473,3957102,North America
Paraguay,PRY,2015,2.6454,11727.364,6177954,South America
Peru,PER,2015,2.338,11662.247,30711864,South America
Philippines,PHL,2015,2.9507,7088.7803,103031360,Asia
Poland,POL,2015,1.3241,27173.203,38553148,Europe
Portugal,PRT,2015,1.303,28654.186,10365436,Europe
Qatar,QAT,2015,1.8643,108237.445,2414580,Asia
Romania,ROU,2015,1.6123,21573.496,19906078,Europe
Russia,RUS,2015,1.8026,25285.736,144668384,Europe
Rwanda,RWA,2015,4.0805,2016.8105,11642963,Africa
Saint Kitts and Nevis,KNA,2015,1.6429,20730.389,47814,North America
Saint Lucia,LCA,2015,1.4728,12314.017,175638,North America
Saint Vincent and the Grenadines,VCT,2015,2.099,10784.738,106493,North America
Sao Tome and Principe,STP,2015,4.3869,4367.9287,201142,Africa
Saudi Arabia,SAU,2015,2.6365,53927.855,32749838,Asia
Senegal,SEN,2015,4.7813,3069.6384,14356191,Africa
Serbia,SRB,2015,1.4605,15407.801,7519501,Europe
Seychelles,SYC,2015,2.3493,23875.107,99260,Africa
Sierra Leone,SLE,2015,4.5481,1836.8203,7314779,Africa
Singapore,SGP,2015,1.2248,75352.24,5650020,Asia
Sint Maarten (Dutch part),SXM,2015,1.7305,24893.516,40228,North America
Slovakia,SVK,2015,1.4068,27625.566,5424449,Europe
Slovenia,SVN,2015,1.5771,29830.53,2080865,Europe
South Africa,ZAF,2015,2.3594,12932.482,55876504,Africa
South Korea,KOR,2015,1.2028,38249.12,50994396,Asia
Spain,ESP,2015,1.3313,35774.746,46431344,Europe
Sri Lanka,LKA,2015,2.0911,12045.038,21336692,Asia
Sudan,SDN,2015,4.8981,4144.497,38171172,Africa
Suriname,SUR,2015,2.4942,14760.163,575478,South America
Sweden,SWE,2015,1.8494,50104.223,9849344,Europe
Switzerland,CHE,2015,1.5417,71452.91,8281735,Europe
Syria,SYR,2015,3.0489,5714.92,19205178,Asia
Taiwan,TWN,2015,1.1674,44206.37,23512136,Asia
Tajikistan,TJK,2015,3.4589,3297.6838,8524066,Asia
Tanzania,TZA,2015,5.0876,2468.433,52542824,Africa
Thailand,THA,2015,1.469,15575.195,70294408,Asia
Togo,TGO,2015,4.5938,1937.6711,7473232,Africa
Trinidad and Tobago,TTO,2015,1.6822,29230.36,1460180,North America
Tunisia,TUN,2015,2.2507,10798.313,11557779,Africa
Turkey,TUR,2015,2.1938,25759.299,79646176,Asia
Turkmenistan,TKM,2015,2.9301,22386.383,5766427,Asia
Turks and Caicos Islands,TCA,2015,1.6695,10328.762,36556,North America
Uganda,UGA,2015,5.306,1986.3871,37477356,Africa
Ukraine,UKR,2015,1.5169,10390.095,44982568,Europe
United Arab Emirates,ARE,2015,1.4859,74834.68,8916909,Asia
United Kingdom,GBR,2015,1.8087,42629.234,65224368,Europe
United States,USA,2015,1.8424,58543.562,324607776,North America
Uruguay,URY,2015,2.0229,20543.252,3402820,South America
Uzbekistan,UZB,2015,2.4949,10492.51,30949416,Asia
Venezuela,VEN,2015,2.3404,5312.8037,30529722,South America
Vietnam,VNM,2015,1.9513,6180.358,92191400,Asia
Yemen,YEM,2015,4.3224,2533.9111,28516552,Asia
Zambia,ZMB,2015,4.7935,3277.0535,16248231,Africa
Zimbabwe,ZWE,2015,3.849,2880.9058,14154937,Africa
